Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.42014E-5,1.500655491,0.050656008,0.763822593,0.017241379,0.071428571
1.54784E-5,1.750460163,0.054960709,0.74711615,0.017241379,0.107142857
1.65026E-5,2.000233262,0.058385162,0.731603023,0.017241379,0.107142857
1.76205E-5,2.250163743,0.06209488,0.717084328,0.017241379,0.107142857
1.85677E-5,2.500215339,0.065214954,0.703361177,0.017241379,0.107142857
1.9894E-5,2.751490488,0.069549433,0.690433572,0.017241379,0.107142857
2.098E-5,3.000640487,0.073068733,0.678301512,0.017241379,0.142857143
2.21008E-5,3.250652784,0.076672738,0.66676611,0.017241379,0.142857143
2.30902E-5,3.50161785,0.079831257,0.655727924,0.017241379,0.142857143
2.40496E-5,3.751774607,0.082873294,0.645186953,0.017241379,0.142857143
2.49837E-5,4.001764226,0.085815936,0.635043755,0.034482759,0.142857143
2.59296E-5,4.251373393,0.088776515,0.625298329,0.034482759,0.142857143
2.68213E-5,4.501667481,0.091550026,0.615851233,0.034482759,0.142857143
2.77237E-5,4.752430931,0.094339776,0.606702466,0.034482759,0.142857143
2.87209E-5,5.001260603,0.097402408,0.597951472,0.034482759,0.178571429
2.93524E-5,5.250889612,0.099331373,0.589399364,0.051724138,0.178571429
3.02412E-5,5.501267583,0.102032339,0.581046142,0.051724138,0.178571429
3.10618E-5,5.752203357,0.10451156,0.572891806,0.051724138,0.178571429
3.19651E-5,6.001185862,0.10722504,0.5650358,0.051724138,0.178571429
3.28105E-5,6.250331209,0.109749631,0.557378679,0.051724138,0.178571429
3.35385E-5,6.502532494,0.111911996,0.549821002,0.051724138,0.178571429
3.4446E-5,6.750799348,0.114593152,0.542561655,0.051724138,0.178571429
3.53706E-5,7.002252441,0.117308271,0.53540175,0.051724138,0.178571429
3.61305E-5,7.252363278,0.119527462,0.528440732,0.051724138,0.178571429
3.68531E-5,7.500488743,0.121627016,0.5216786,0.051724138,0.178571429
3.76919E-5,7.750240383,0.124051924,0.515015911,0.051724138,0.178571429
3.85559E-5,8.001735298,0.12653574,0.508452665,0.051724138,0.178571429
3.94914E-5,8.251495753,0.129209332,0.502088305,0.051724138,0.178571429
4.034E-5,8.502681377,0.131620278,0.495823389,0.068965517,0.178571429
4.11998E-5,8.751699128,0.134049753,0.489757359,0.068965517,0.178571429
4.20474E-5,9.001358586,0.136431062,0.483790772,0.068965517,0.178571429
