Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.9925E-5,11.503065581,0.240099425,0.621382397,0.070175439,0.137931034
5.04425E-5,11.753965249,0.24198598,0.616409746,0.070175439,0.137931034
5.09343E-5,12.002455698,0.243769999,0.611536549,0.070175439,0.137931034
5.15026E-5,12.253515742,0.245821312,0.606663352,0.070175439,0.137931034
5.21014E-5,12.502051297,0.247970706,0.601889607,0.070175439,0.172413793
5.28019E-5,12.75394927,0.250469421,0.597115863,0.070175439,0.172413793
5.33172E-5,13.003315328,0.25229708,0.592441571,0.070175439,0.172413793
5.37599E-5,13.255127078,0.253860165,0.58776728,0.070175439,0.172413793
5.4415E-5,13.50404193,0.256161361,0.583192442,0.070175439,0.172413793
5.4854E-5,13.755315663,0.257695329,0.578617603,0.070175439,0.172413793
5.54662E-5,14.003556481,0.259823882,0.574142218,0.070175439,0.172413793
5.59018E-5,14.25420246,0.261331177,0.569666832,0.070175439,0.172413793
5.63654E-5,14.501246804,0.262928829,0.5652909,0.070175439,0.172413793
5.70779E-5,14.750712315,0.265370299,0.560914968,0.070175439,0.172413793
5.76079E-5,15.003008641,0.26717615,0.556539035,0.070175439,0.172413793
5.80503E-5,15.251809486,0.268676554,0.552262556,0.070175439,0.172413793
5.86178E-5,15.502704514,0.270592353,0.547986077,0.070175439,0.172413793
5.922E-5,15.755894386,0.272614408,0.543709597,0.070175439,0.172413793
5.97007E-5,16.005635556,0.274220427,0.539532571,0.070175439,0.172413793
6.01674E-5,16.251451911,0.2757731,0.535454998,0.070175439,0.172413793
6.0658E-5,16.505292832,0.27739799,0.531277971,0.070175439,0.172413793
6.09784E-5,16.754638999,0.2784552,0.527200398,0.070175439,0.172413793
6.14816E-5,17.005598601,0.280109498,0.523122824,0.070175439,0.206896552
6.19271E-5,17.252382408,0.281567623,0.519144704,0.070175439,0.24137931
6.23785E-5,17.500928495,0.283039074,0.515166584,0.070175439,0.24137931
6.30871E-5,17.752142028,0.285336705,0.511188463,0.070175439,0.24137931
6.36347E-5,18.005781739,0.287102616,0.507210343,0.070175439,0.24137931
6.42566E-5,18.255436826,0.289097061,0.503331676,0.070175439,0.24137931
6.47577E-5,18.500521599,0.290696439,0.499552461,0.070175439,0.24137931
6.52989E-5,18.754225271,0.29241551,0.495673794,0.070175439,0.24137931
6.57222E-5,19.003106631,0.293754213,0.49189458,0.070175439,0.24137931
6.61371E-5,19.25368927,0.295061435,0.488115365,0.070175439,0.24137931
6.65593E-5,19.505788287,0.296386587,0.484336151,0.070175439,0.24137931
6.70422E-5,19.753052021,0.297896429,0.48065639,0.070175439,0.24137931
6.76571E-5,20.002246044,0.299809646,0.476976629,0.087719298,0.24137931
6.83784E-5,20.253983109,0.302040523,0.473296867,0.087719298,0.24137931
6.87538E-5,20.500949424,0.303195793,0.469716559,0.105263158,0.24137931
6.92213E-5,20.756217624,0.304629564,0.466036798,0.105263158,0.24137931
6.99183E-5,21.006710947,0.306755923,0.462456489,0.105263158,0.24137931
7.0344E-5,21.252267916,0.308048212,0.458975634,0.105263158,0.24137931
7.09949E-5,21.506781003,0.310015059,0.455395326,0.122807018,0.24137931
7.13953E-5,21.755974884,0.311219427,0.45191447,0.122807018,0.24137931
7.20651E-5,22.007025366,0.313224369,0.448433615,0.122807018,0.24137931
7.27072E-5,22.253065219,0.315135703,0.445052213,0.122807018,0.24137931
7.31832E-5,22.501165418,0.316546045,0.441670811,0.140350877,0.24137931
7.38463E-5,22.75115528,0.318500499,0.438289408,0.140350877,0.24137931
7.42288E-5,23.002934916,0.319623011,0.434908006,0.140350877,0.24137931
7.47517E-5,23.25623054,0.321151519,0.431526604,0.140350877,0.24137931
7.52343E-5,23.503647058,0.322556137,0.428244654,0.140350877,0.24137931
7.58031E-5,23.752957074,0.324204062,0.424962705,0.140350877,0.24137931
7.63347E-5,24.00401634,0.325737093,0.421680756,0.140350877,0.24137931
7.67249E-5,24.256554113,0.326858016,0.418398807,0.140350877,0.24137931
7.73212E-5,24.503145238,0.328563681,0.41521631,0.140350877,0.24137931
7.77153E-5,24.751280016,0.329686047,0.412033814,0.140350877,0.24137931
7.82496E-5,25.000907256,0.331202181,0.408851318,0.140350877,0.24137931
7.88575E-5,25.252408801,0.332918416,0.405668821,0.140350877,0.24137931
7.92405E-5,25.505321011,0.333995209,0.402486325,0.140350877,0.24137931
7.97351E-5,25.751880081,0.335380993,0.399403282,0.140350877,0.24137931
8.01568E-5,26.007794079,0.336557665,0.396220786,0.140350877,0.24137931
8.07932E-5,26.257159057,0.338325778,0.393137742,0.140350877,0.24137931
8.12612E-5,26.500212858,0.339619953,0.390154152,0.140350877,0.24137931
8.16754E-5,26.752780462,0.34076121,0.387071109,0.140350877,0.24137931
8.21237E-5,27.006647482,0.341991818,0.383988066,0.140350877,0.24137931
8.25949E-5,27.253712695,0.343280507,0.381004475,0.140350877,0.24137931
8.32442E-5,27.502374947,0.345047996,0.378020885,0.140350877,0.24137931
8.38616E-5,27.753083523,0.34671973,0.375037295,0.140350877,0.24137931
8.43277E-5,28.005372995,0.347976287,0.372053705,0.140350877,0.24137931
8.4708E-5,28.25051887,0.348997747,0.369169567,0.140350877,0.24137931
8.51811E-5,28.505465238,0.350264245,0.366185977,0.140350877,0.24137931
8.5743E-5,28.753459508,0.351762021,0.36330184,0.140350877,0.24137931
8.62591E-5,29.002783231,0.353131733,0.360417703,0.140350877,0.24137931
8.68857E-5,29.253860516,0.354786741,0.357533565,0.140350877,0.24137931
